Block: 59
Row TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature VersionSignature LedgerSignature LedgerSeal Block
45150 2020-05-16T00:03:43.418Z e81638ab7614b74ff930201afa1348559b3b7537a93f59b9ca9e84d61670bcbd 59f905a915d4efaf1c0bb71895ac3b862546f669ff7787b4414069de161c80e6 8e14278f6cc7888cb9e7766aec76d2e31cac9fcde1c14c1d04e1c3adb8bb12b6 AME 3 021e2025068913f3d5aa0422f1f1e06711ceb2f903e6f109c28fa3f4e6b9f30007 025a85b23c049d205f1ca929ef9dee921e787495e89cfbdd7de627b5bd6fd6766f cQTA0FAzxQ/Ux8cmYegJIIwlGWbGQG4fzw9VVtJp7MIfGUM9UhNx2FxQuIr4MJqIWQt3EmthsGieYvCML0ziAg== pQFPa8hwAojcIcHCpPB4PFPClq4PqzkOJBP3UA5gBmHrv3nYttLYQfHQJol70RyITin2ZYuNxhqHFmuxUA4f0w== PFj1UcGY1gsouki1Ic4d+5aWUo6RBVoqKsi8qtt+q8P0wkFqiGes0r4BEnzHMkAmvi5D4NJdCypTMKZoKyyDrw== RHhw4uwOv6Ly5iYF2Qll3unokocobxYA+x59LT+qxRxiQ+AsntWy5H+kLhwfEqPnxc9Ub5ltr73txVZUYRnk/Q== 59
45151 2020-05-16T00:04:12.934Z 88ae735bed8a67ffd8ab6ca305c7f33f5ff361e29a0c3822d8d119ba855233fd 88ae735bed8a67ffd8ab6ca305c7f33f5ff361e29a0c3822d8d119ba855233fd 88ae735bed8a67ffd8ab6ca305c7f33f5ff361e29a0c3822d8d119ba855233fd HBT 58 021b0771d47241f8a0a77037305c84b8e1c729ca712d1e84f57d1b4af48deed156 02624cf902f38ef1b317086d76f008b500ec7bc5b5e1213ecc0f782fe17fc5920b 9JatvKguYOOt9SYDyvLSEHMYXNto6rbUGhKYhr9dal7sn3iLZ5GZR5NyEy3SHMXlFmIPNhQOZcJALGGn8tmc3w== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 mgraJ2PNY2eAYilJZ40pa8FBId4lsbU7Wr8GNO1OpaPPHUATbZQnx/I1P7a5duhEZxKnjA1WbucMKxA59D39TQ== /U0tpxU9PkYzEyBj2wbXyHHxUyccU8QLL/D3FrFJp1SvkywbZJXH/xRytw5SnFfrZ5DcLi2RlBsx4X/ldZZ1Qg== 59
45152 2020-05-16T00:28:57.964Z 4b258268e6ee5da06c6aa3bdf56c4486aa1e0f2a514cd3420e985171249e84bc e3ce31edd7a6f7852bb7d5c97c4adaefafc007d1bbc442e4781835a9b800435b 813c50e343a37c37e7a16a937b391e9b200da2acab99f68a2898058d74c120d7 TRA 5 0392eaaa87981f15993638262c97f80d7e58a96564807d79c101c5c6c920bded03 0283d3f0359c124064644089d6aeab14ba5d1dde9197340fc601f56944bf7eb67f zN9AqTKDbLMCZOIbFxmawFM6uYgPtX/UGNGtIJNdAsDCIWsCHSNVPIJLOTjSlxJhMAfrDmigtd8MEB3qf9zgPw== UJ+I/TFxuFOReN7GkXrXxfb6hP3PuL93H8sXWtgfaUbbxoS74oO+CBob+gZazdu1itx6v7jTfBFup+AF+szsEw== jbfl8EG+ldAHl7mQ5IuOa+3qBJdqxK4lzT8RapsXSYh6GSrrZllQNuwBxzpVibgCmA09wmNfiDJ+QOsgubakxA== J9C5sGr91z/0Vw2fn7V2rYdg8N/kAJihdxLv5RUFG9Y2ZOtY1x4LgwVuEKpIvJzBuJXK0EMICxijV/53foSXFg== 59
45153 2020-05-16T00:55:07.517Z 644d467556ba1d3c498ae82c235c3f8f9d9da9a0686018efd27fad23c9dc3f7c b8dfe3e939fa58fbd830bcacff974d800f9c12f71a09cbb6e37d0c02f64412b3 fa36f20ce42b1cd43a5ccd416e1f848e7a08104156478937a0394b20281df460 AME 4 0391d11a7234dc097a9943868d0d4e55cb72e2f8f0d243f001736d653bc79b51ac 037c0de58a41ea37911e3c961d74c9eddfebd26dc52f6af48a5e84802483fbf8c7 u1MN98r9VWmt94Ou88vtdNpA67i+WWr7rSqFZLKDrjLYmpeY/P5IdA2PoVpX2eP+0VBIUiyhJHo2++dBYyBDUA== iW5fBLrKPw1tPFREqY1BT7i6yN/kxOJ9v40fTBAKiZhfyuPxu44sO925sSdwl4f7ehhIQ+U/BU0/eV+XRABAVg== h4lyzQKual4tnVPrMOf5KBzTdsymVaEkPeeCfnjHta9USZEOnSWMZf1QJD8O4lJoyvyK+ZQb0/d434+BbrBT6g== OFILLMOeF5OLjxgusIrqDboD7JeuBBSUJ8ZJ68010bKyHsiDCAHWMy82mU95VyZ3zzjAuPXrtcoOCKbWpc0qpQ== 59
45154 2020-05-16T01:13:16.336Z b5b44f0efca36522f775ab865bdba3192c3ce289a24593e8d57a9b41d14f28dd 28cb62471633568d810f4f5f94ebe7435710437c231d7816cbe849bdbcc03a62 e09300127ffc3105d1eef01f59cfcf85afce9d9380e170f66b4a8e1bea1b1e9d AME 6 02970ad400c7f211b7a39804668896e6af3bbcd93be9dc368bd7921fcb9f127fbd 02de32704248bd02b35d975d4a3b039ee64f9b9cdf2e0b21b4ad9181ad277378e8 1s8Opc5MCq6oiUe1QqflWsm4Y+VeWOrYPeeWgYjOlvDaB3pZO3Hpn7Kg1bfOizqE2lUmiHgZEGVvg3dLT0hGdg== E/RpuuJQWHz1ju5Fc3+ISsFTsc+FGYNgT2uKOz9M7xJ9UFk3vmuM06/bjnTLvyPevug+JqnY0BcKB4y/8cLPZg== lYtr8VEzDkzpRPj+D+6dpidjUjH27g5Ddxg9FFxGTApIQW9ukAff4YGOWpXzDlnOeYhA4HWpSazEDYnn7pWR3w== yu+etrEUrgzKF8W5i23quBejQsLe2v3JjyiQeOte9PDDWmeLHl7i84nVKoiAAuGEYi6Oc/wX/oSqoeoOUQIubg== 59
45155 2020-05-16T01:31:43.97Z 67c3602b3ee083167911b11d243f1df02f6515860f0bbd642da622db75979a9e 67c3602b3ee083167911b11d243f1df02f6515860f0bbd642da622db75979a9e 37e275b501a8f95e76e10d5bb12e4be84cb3e69df3fc7a47bb35927d7859948f CRE 1 03f98612fe535991d76c1ac699af61ccb426b06fefb833d8993a2aeaef60125b7d 034b8a45fdfad14b24262b8d023cecc25ef07c0df029cc51e7430e45bf03efa88e yf4xm0+7Cb0S/t/STVFi8v441rZJr2FEwgNE9WcTQv+NHlbr+rRwRLjS/Q7yTABZmOI46N9i3y69LN97B+xlWw== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 GX2sIv1+vXvZYAA44Py0Pf6jvtEdzlMcAg/uFZvKiLUbAZP0vVyQyIduN4R5a0CjUtTsRHLviZbFBlsnQrQUrA== RKokBXwsbS0Ci5topnHriL0I4X/jG9xl8eNK6pcRW7qm++0V9HxcTO+S3SKQFWm4BmptTqGS4Syj1twbH1+nIw== 59
45156 2020-05-16T01:55:51.865Z b1576865b2ec2cdfe249a1f32b72313bc034131b886e4a0517ea93ba3503fce4 6e22fecfd5935ab53a629ce62b33b1e5be2b4b98a5c4525dd2fed53b4790466f 6d6c51c57aa1cc6cd30f71cc4ac7aeeec5583fb05114eb7de39334bed3792d81 AME 2 037f6ba810b462e08786ea88d3aabd29975384ca9fde7c258d86d30ea49027fc3a 0394cfb3655f4aac59ba973d55fcdc0193606fa5f30ae5f5c2b74c7357cb78b727 w8mGq3l5KAMk1aVlsJRK+0elbuYqajd+lfq4iJwJ4GxO5tdSBKnX8C8EHHmIfOkzdWJU7+1U+kGFhQGDJlvZiQ== 1foQwnzahFVODFy1RWC2FpuQHVYWiX+AQpOx+HTpJhX+gEEj9gO/pZeXBwDrWxIUPUDLUgky3sNDzLuVOrUM8A== tTD9V95B3WRUKjbUa1hLUEudEaJ1d6idlmGFaUreKyUKdm5C67kzTKNyw+RMYaAR11WJ3GcAxb3PyXj3MIpScw== Z7tbIR3sU224QulURSqZg6nMJX0y+2ITioxIxscLlqRVclSN/aaMvj1mWk2VYe/gWRJ0O/qYjMK0Q7PriaLV0g== 59
45157 2020-05-16T02:23:04.187Z 362b196ec44276fe6045358e5b5504950dab930c8b0b9b50eaa4800369c77f78 2c799f61b501a5aa947288966fbf125b7687d33fdb92bcb687bf8488511a7fbc ddf7d6bfa794323d70556b7e8c346d3362ade43440183ae3a26500f12082bf5d AME 5 027f1880370584f1acb40e42540b0adc3339d6317a3a1b16f9f7eeeb1b6d185ddb 03c4eef0623ff4608918affecef4f15ecb636055cd9b908ffd9bdf0c8bbb67401d 9XIil+FnelQbvTkjNNU5IM54XFXk9Bia6ZZTn07kwO2TeDChGvqC69ZrQ29di2zX0K5Hdcj0M8nBzpYcS9cYlA== yXfmi+5GXI3Pmj3rLjYMHVSZE6BuFFKK5sMfq3SGVj6/gS64qTkkkcb4f69tCywGfOP/CmDTdqZGXekTXLcikw== E2EeVCIiCJ6/36yrljAR/byMzqxPeRDGljo6vT2muwwxMPOJf88+M4VavQlBfeBWmUyFvwA+CXLUzALKkNzSrw== 2ld5rQLrGgFwy76DLhKMfdTme+7SSzMJNNU6OwCTogmO91rffuvHCWKTFWYAb8q9VWxLDG/uJ9M++ALciBk32g== 59
45158 2020-05-16T02:43:54.527Z 6768daeac28da5efbd8db3b5b0675a93534e562f49c2e56b33b0d2953e83fa39 934965974847bef9c4942c0af7d7d1876335a4077c424c89fc66054dfe34f8aa 1b924bb3a29d03422d266a871c2c975a6e1f7e3c05bc959d8a29de55876acd18 AME 4 029bb121ac1b4e6897e40b791006b9df22c9fafe6d244c6a7f4874beb3949abe9f 03d57673f38a4f91584318863f79ac6fb0a7743ccbea79107dcfb04872ec5e1a9a JmOM22V/bhEXziSvibxFrNJ/SWhSmYmBPNJAH5cUczi4dbN35AiyD/8If2/SNNOs/ibYvjreC0jHIV55eCjtPw== WDbzYdU3YL1tBEb04/gqXYnHvoFrc/c/2Jn+isaxa5kJ4aMEfWSg1sKMtrG644B39xlqkctpfOB1S5hR7QbUNg== Xojr3JkmdHyzBzw26A4y9JOP1O7wVeFtflc6AqQypENmemMhtt9of9CxYRJF9vc9HMgXbMR0xw34LRf8WKQIKQ== +YFD5tuhWq+9FV1+cxMntwfKdyJDel+skuf1OPQwRgr/GZWJe3QXPiQSwOwhGxadMBzJ9Trf9cN3gsV0ROgJfQ== 59
45159 2020-05-16T03:02:20.496Z e12e99d9a4b088dd00334120d16ef7fc1f6d63a93b1698fd50c7954b6ec97519 581a6161b7abfab39130bec7e5e629e56c016ade879233fc10a9eb4cf4a45944 2e770a9f3b6af3f8720d66f2f8cf6c87607a09858d45302f069c403e199c9884 AME 5 02571ba351d99e53295d5352e09006b15d4438fd90e7dc8b20415c836b4d0eb085 025229557a12833c8af1c52b4a06b6321d77b393437c4f5d13b58f2fa6f3a00468 CnafFp+P6HF1kjbT3SHAKtkQhaMCbflj2YdMwi4X2clN0lIW6uW8umC2SgvcPqDimBg+KLguVQuxEsQhCPqTGQ== 9721iRDC+WFlzqorA9ijd76MF8hYjnjIX1ptEiLWAEvuXP3NHZhvAN48vvZQW20K8fM19JgMYD/Vj0Ya4zXtMA== zQvpb/oaBr1fJvxhwHgvNCczGXWODlU91ymkyAfMdvuSJL67zpTxf3L6PPy3WJQMlDF5cgXJJ3rScEZ8gIbQRw== CpIkYOkiVFYxoLqwZrEc4aibJP0x1WiJmRKsZv1vlcQ9fvk8Ww7j8cW+YNmXhKKXZJp2oAOsFjHCRTyZZ8Wb/Q== 59
